merge_code,date,time block,"planting? 0 = N, 1 = Y",site_code,%corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,,,,,,,,,,,,,,,,,,,
2015SC511,05/11/2015,5,0,SC,8,0.022364757,DBT_48,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.51,< 0.182,FP_48,< 0.040,< 0.434,5.983,5.194,4.193,< 0.091,< 0.061,,,,,,,,,,,,,,,,,,,
2015SC514,05/14/2015,6,0,SC,8,-0.100250059,DBT_58,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_58,< 0.029,< 0.061,< 0.057,< 0.938,1.243,< 0.047,0.168,,,,,,,,,,,,,,,,,,,
2015SC519,05/19/2015,7,0,SC,8,-0.400451811,DBT_68,9.98,14.23,< 2.347,< 5.024,< 0.064,< 0.556,1.25,FP_68,0.116,0.645,1.661,< 0.938,3.52,< 0.047,0.467,,,,,,,,,,,,,,,,,,,
2015SC523,05/23/2015,8,0,SC,8,0.801754617,DBT_77,< 0.122,< 0.206,< 2.347,135.5,< 0.064,< 0.556,< 0.182,FP_78,7.888,0.784,13.305,4.115,25.38,6.141,6.393,,,,,,,,,,,,,,,,,,,
2015SC527,05/27/2015,9,0,SC,8,-0.440213351,DBT_88,33.58,< 0.206,< 2.347,137.82,< 0.064,< 0.556,< 0.182,FP_88,1.13,< 0.061,< 0.057,< 0.938,6.915,< 0.047,1.674,,,,,,,,,,,,,,,,,,,
2015SC603,06/03/2015,10,0,SC,8,-0.534180632,DBT_98,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015TV429,04/29/2015,1,0,TV,31,-0.128546355,DBT_8,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,3.43,FP_9,< 0.040,0.825,2.806,1.761,< 0.148,< 0.091,< 0.061,,,,,,,,,,,,,,,,,,,
2015TV502,05/02/2015,2,1,TV,31,-0.334364001,DBT_19,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.38,FP_19,< 0.040,< 0.434,1.672,15.342,2.083,0.314,0.341,,,,,,,,,,,,,,,,,,,
2015TV505,05/05/2015,3,1,TV,31,2.288752585,DBT_29,< 0.122,< 0.206,51.56,< 5.024,< 0.064,4.36,< 0.182,FP_29,< 0.040,1.057,16.692,37.944,0.879,0.186,0.137,,,,,,,,,,,,,,,,,,,
2015TV508,05/08/2015,4,1,TV,31,0.900722285,DBT_39,< 0.122,9.33,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_39,0.062,< 0.434,2.744,7.554,1.094,0.12,0.219,,,,,,,,,,,,,,,,,,,
2015TV511,05/11/2015,5,0,TV,31,0.11357385,DBT_49,< 0.122,< 0.206,< 2.347,40.62,< 0.064,< 0.556,< 0.182,FP_49,< 0.040,< 0.434,1.644,19.518,3.58,< 0.091,< 0.061,,,,,,,,,,,,,,,,,,,
2015TV514,05/14/2015,6,0,TV,31,-0.111016623,DBT_59,< 0.122,< 0.206,< 2.347,1874.97,< 0.064,< 0.556,< 0.182,FP_59,< 0.029,< 0.061,0.615,< 0.938,0.761,< 0.047,0.317,,,,,,,,,,,,,,,,,,,
2015TV519,05/19/2015,7,0,TV,31,-0.324717908,DBT_69,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_69,< 0.029,0.22,1.517,< 0.938,1.22,< 0.047,0.364,,,,,,,,,,,,,,,,,,,
2015TV523,05/23/2015,8,0,TV,31,-0.297260477,DBT_78,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.78,FP_79,< 0.029,1.418,3.801,1.221,4.223,0.594,0.814,,,,,,,,,,,,,,,,,,,
2015TV527,05/27/2015,9,0,TV,31,-0.502165556,DBT_89,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,4.35,< 0.182,FP_89,0.277,0.351,0.879,< 0.938,3.642,0.781,0.793,,,,,,,,,,,,,,,,,,,
2015TV603,06/03/2015,10,0,TV,31,-0.480867366,DBT_99,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015WB430,04/30/2015,1,0,WB,30,-0.440946117,DBT_10,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_10,0.925,< 0.434,7.517,6.35,6.311,1.424,1.674,,,,,,,,,,,,,,,,,,,
2015WB502,05/02/2015,2,1,WB,30,0.25523267,DBT_20,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_20,0.371,< 0.434,3.596,8.872,2.357,0.416,0.767,,,,,,,,,,,,,,,,,,,
2015WB505,05/05/2015,3,1,WB,30,0.242584213,DBT_30,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_30,< 0.040,< 0.434,10.101,19.605,4.237,0.727,1.226,,,,,,,,,,,,,,,,,,,
2015WB508,05/08/2015,4,1,WB,30,0.489129116,DBT_40,28.85,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_40,< 0.040,< 0.434,20.462,5.411,1.393,0.281,3.88E-01,,,,,,,,,,,,,,,,,,,
2015WB511,05/11/2015,5,0,WB,30,0.557604643,DBT_50,< 0.122,< 0.206,62.14,< 5.024,< 0.064,< 0.556,< 0.182,FP_50,< 0.040,< 0.434,5.287,9.744,3.478,0.216,0.614,,,,,,,,,,,,,,,,,,,
2015WB514,05/14/2015,6,0,WB,30,0.55423541,DBT_60,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,6.93,FP_60,< 0.029,0.757,2.546,1.809,2.051,2.30E-01,0.249,,,,,,,,,,,,,,,,,,,
2015WB519,05/19/2015,7,0,WB,30,-0.230023084,DBT_70,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,1.45,< 0.182,FP_70,< 0.029,< 0.061,3.384,0.938,2.161,0.083,0.442,,,,,,,,,,,,,,,,,,,
2015WB523,05/23/2015,8,0,WB,30,0.355223807,DBT_79,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.15,FP_80,< 0.029,4.238,3.484,2.677,2.106,< 0.047,0.433,,,,,,,,,,,,,,,,,,,
2015WB527,05/27/2015,9,0,WB,30,-0.523100642,DBT_90,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,3.19,5.38,FP_90,< 0.029,< 0.061,1.175,< 0.938,2.039,0.43,0.503,,,,,,,,,,,,,,,,,,,
2015WB603,06/03/2015,10,0,WB,30,-0.350816894,DBT_100,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
